fecha_de_ocurrencia,estado_del_evento,fecha_de_conclusion,tipo_de_evento,causa_probable,conocido_atendido,autoridad_ambiental,municipio,area_de_incidencia,barrio_vereda_corregimiento,familias_afectadas,viviendas_destruidas,viviendas_averiadas,acueductos_destruidos,vias_afectadas,puentes_obstruidos_afectados,establecimientos_educativos,afectacion_hectareas,epicentro_sismo,magnitud_richter,localizacion_lat_long_profu,heridos,desaparecidos,fallecidos,fecha_de_reporte,alertas,albergues,observaciones
2021-01-22T00:00:00.000,ATENDIDO,2021-01-22T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SABANA,CAS,SABANA DE TORRES,RURAL,VEREDA DORADAS FINCA LA CAMPIÑA,0,0,0,0,0,0,0,10,N/A,N/A,N/A,0,0,0,2021-01-22T00:00:00.000,N/A,N/A,"La comandante de bomberos reporta la atención de un   incendio forestal en la vereda Doradas finca la Campiña, se afectaron 10 hectáreas de pastizales y cultivos de palma de aceite"
2021-01-24T00:00:00.000,ATENDIDO,2021-01-24T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SABANA,CAS,SABANA DE TORRES,RURAL,VEREDA LA GOMEZ FINCA DE TULIO TAMAYO,0,0,0,0,0,0,0,2,N/A,N/A,N/A,0,0,0,2021-01-24T00:00:00.000,N/A,N/A,"La comandante de bomberos reporta la atención de un   incendio forestal en la vereda la Gómez, finca de Tulio Tamayo se afectaron 02 hectáreas de pastizales y bosque"
2021-01-25T00:00:00.000,ATENDIDO,2021-01-25T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DEL SOCORRO,CAS,EL SOCORRO,RURAL,BARRIO PRIMERO DE MAYO,0,0,0,0,0,0,0,1,N/A,N/A,N/A,0,0,0,2021-01-25T00:00:00.000,N/A,N/A,"El comandante de bomberos reporta incendio forestal en la salida del barrio Primero de Mayo afectando 1 hectárea de cultivo de caña de azúcar, 4 maquinas atendieron el incendio con apoyo del ejercito Batallón Galan y la policía nacional."
2021-01-26T00:00:00.000,ATENDIDO,2021-01-26T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SABANA,CAS,SABANA DE TORRES,RURAL,VEREDA PAYOA VIA NACIONAL RUTA DEL SOL,0,0,0,0,0,0,0,1,N/A,N/A,N/A,0,0,0,2021-01-26T00:00:00.000,N/A,N/A,"La comandante de bomberos reporta la atención de un   incendio forestal en la vereda Payoa, via Ruta del Sol se afectaron 01 hectárea de pastizales y bosque"
2021-01-27T00:00:00.000,ATENDIDO,2021-01-27T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SABANA,CAS,SABANA DE TORRES,RURAL,VEREDA LAS PAMPAS,0,0,0,0,0,0,0,5,N/A,N/A,N/A,0,0,0,2021-01-27T00:00:00.000,N/A,N/A,"LA comandante de bomberos reporta atención de varios incendios forestales en las veredas las Pampas, Agua Bonita, Villa Eva, Los Pinos, total afectación 10 hectáreas de pastizales y bosque nativo"
2021-01-27T00:00:00.000,ATENDIDO,2021-01-27T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SABANA,CAS,SABANA DE TORRES,RURAL,VEREDA AGUA BONITA,0,0,0,0,0,0,0,2,N/A,N/A,N/A,0,0,0,2021-01-27T00:00:00.000,N/A,N/A,"LA comandante de bomberos reporta atención de varios incendios forestales en las veredas las Pampas, Agua Bonita, Villa Eva, Los Pinos, total afectación 10 hectáreas de pastizales y bosque nativo"
2021-01-27T00:00:00.000,ATENDIDO,2021-01-27T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SABANA,CAS,SABANA DE TORRES,RURAL,VEREDA AGUA LOS PINOS,0,0,0,0,0,0,0,3,N/A,N/A,N/A,0,0,0,2021-01-27T00:00:00.000,N/A,N/A,"LA comandante de bomberos reporta atención de varios incendios forestales en las veredas las Pampas, Agua Bonita, Villa Eva, Los Pinos, total afectación 10 hectáreas de pastizales y bosque nativo"
2021-01-28T00:00:00.000,ATENDIDO,2021-01-28T00:00:00.000,EXPLOSION DE MINA,INDETERMINADO,BOMBEROS DE LANDAZURI,CAS,LANDAZURI,RURAL,VEREDA VALPARAISO,0,0,0,0,0,0,0,0,N/A,N/A,N/A,1,0,2,2021-01-28T00:00:00.000,N/A,N/A,"El CMGRD  reporta la explosión de una mina de carbón en la vereda Valparaiso que dejo un saldo de dos personas fallecidas correspondientes a los señores Lindolfo Ramirez Hernandez y Jhonathan Castañeda Ariza,  un herido de nacionalidad venezolana, nombre Gabriel Mora Castro, remitido a centro asistencial"
2021-01-28T00:00:00.000,ATENDIDO,2021-01-28T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,CMGRD DEL PLAYON,CDMB,EL PLAYON,RURAL,VEREDA TRES PORTONES,0,0,0,0,0,0,0,3,N/A,N/A,N/A,0,0,0,2021-01-28T00:00:00.000,N/A,N/A,"El CMGRD reporta incendio forestal en la vereda Tres Portones atendido por la defensa civil y la comunidad del municipio, afectación de 3 hectáreas de pastizales y bosques"
2021-02-11T00:00:00.000,ATENDIDO,2021-02-11T00:00:00.000,SISMO,INDETERMINADO,BOMBEROS DE ZAPATOCA,CAS,ZAPATOCA,RURAL,TODA LA JURISDICCION,0,0,0,0,0,0,0,0,ZAPATOCA,"4,5º","LONG. -72,73º LAT. ,71º",0,0,0,2021-02-11T00:00:00.000,N/A,N/A,El comandante de bomberos reporta normalidad después del sismo 4.5° ocurrido el 11-02-2021 20:57
